Transcript stable ID version	UniProtKB/Swiss-Prot ID
ENST00000648774.1	
ENST00000588802.5	P02654
ENST00000334293.10	
ENST00000592535.5	
ENST00000592885.5	
ENST00000650349.1	
ENST00000589781.1	
ENST00000292401.9	P25311
ENST00000588350.1	
ENST00000273854.7	P54756
ENST00000424546.6	Q9H7X0
ENST00000589078.1	
ENST00000327357.9	Q12899
ENST00000256255.11	Q96BY9
ENST00000419575.1	
ENST00000590334.5	
ENST00000411734.1	
ENST00000396558.5	Q12899
ENST00000261751.8	P30926
ENST00000586638.5	
ENST00000624335.1	
ENST00000393452.7	
ENST00000623359.1	
ENST00000412755.5	
ENST00000624732.1	
ENST00000592176.1	
ENST00000432638.6	
ENST00000412074.6	P30926
ENST00000554180.5	
ENST00000623648.1	
ENST00000419171.1	
ENST00000427612.5	
ENST00000354839.8	P54756
ENST00000559849.5	
ENST00000582163.3	P08118
ENST00000393454.6	Q9NUW8
ENST00000518174.5	
ENST00000663171.1	
ENST00000511294.1	
ENST00000553617.5	
ENST00000575733.5	
ENST00000521265.5	
ENST00000270517.12	Q9BQ95
ENST00000581478.5	P08118
ENST00000613740.4	
ENST00000622150.4	
ENST00000454649.2	Q6UW10
ENST00000335725.9	Q9NUW8
ENST00000520303.5	
ENST00000556867.1	
ENST00000301964.6	O75528
ENST00000523127.5	
ENST00000588998.5	
ENST00000649205.1	Q9H7X0
ENST00000518340.1	
ENST00000573680.5	Q9Y5B6
ENST00000373764.8	Q5VZ52
ENST00000284202.9	Q9P2X3
ENST00000252440.11	Q9BQ95
ENST00000346753.8	Q8IU80
ENST00000553527.1	
ENST00000518296.5	
ENST00000553989.1	
ENST00000418632.1	
ENST00000648078.1	
ENST00000440161.5	O75528
ENST00000522794.1	
ENST00000592571.1	
ENST00000545686.6	
ENST00000532171.5	
ENST00000522055.1	
ENST00000574159.2	Q9Y5B6
ENST00000523761.1	
ENST00000555178.5	
ENST00000417981.6	Q9BQ95
ENST00000406725.6	Q8IU80
ENST00000536616.5	
ENST00000585067.5	
ENST00000556498.1	
ENST00000343450.2	O75528
ENST00000578221.1	
ENST00000406856.7	Q8IU80
ENST00000555880.5	
ENST00000545648.2	Q96BY9
ENST00000641081.1	Q8NG99
ENST00000557782.1	
ENST00000581278.1	
ENST00000439043.1	
ENST00000574950.5	
ENST00000429068.1	
ENST00000305456.2	
ENST00000580035.1	
ENST00000442782.6	
ENST00000556063.1	
ENST00000423761.1	
ENST00000631589.1	P55197
ENST00000591104.5	Q9BQ95
ENST00000381792.6	Q8IU80
ENST00000576372.5	Q9NYP8
ENST00000448521.5	Q9UJU6
ENST00000576061.1	Q9NYP8
ENST00000541538.1	Q8NGA0
ENST00000448493.7	
ENST00000573131.1	
ENST00000397752.7	P08581
ENST00000571812.1	Q9NYP8
ENST00000592312.5	
ENST00000585318.5	
ENST00000318493.11	P08581
ENST00000593231.1	
ENST00000400228.6	
ENST00000573580.5	Q9H7X0
ENST00000397272.7	Q68DD2
ENST00000398776.2	Q9UMQ6
ENST00000562320.1	
ENST00000590480.1	
ENST00000426592.6	
ENST00000322563.8	O96014
ENST00000422097.1	
ENST00000592665.1	
ENST00000376460.5	Q9BZ29
ENST00000454623.1	
ENST00000264094.8	P58215
ENST00000586149.1	
ENST00000526118.1	
ENST00000447473.6	
ENST00000652315.1	Q9BZ29
ENST00000456905.5	Q9UJU6
ENST00000409249.5	
ENST00000436117.2	P08581
ENST00000358632.8	P05108
ENST00000529461.1	
ENST00000585656.1	
ENST00000393937.6	P58215
ENST00000572169.6	Q9H7X0
ENST00000369769.4	P22001
ENST00000650893.1	
ENST00000409549.5	
ENST00000409986.5	
ENST00000420535.1	
ENST00000413469.1	
ENST00000268053.11	P05108
ENST00000377100.8	P55197
ENST00000621122.1	
ENST00000630992.2	
ENST00000414441.5	Q7L2J0
ENST00000419908.5	
ENST00000451563.5	
ENST00000435365.5	
ENST00000413446.5	Q8IY33
ENST00000269881.7	Q96L12
ENST00000566674.5	
ENST00000290497.11	
ENST00000340449.7	
ENST00000377072.8	P55197
ENST00000649360.1	Q9H7X0
ENST00000420324.5	
ENST00000450547.1	
ENST00000402938.4	P28476
ENST00000339416.7	
ENST00000310512.4	Q7L2J0
ENST00000307729.12	P55197
ENST00000600762.1	
ENST00000228945.9	P52566
ENST00000569662.1	
ENST00000536592.5	
ENST00000377091.7	P55197
ENST00000569985.5	
ENST00000250863.12	Q92904
ENST00000449796.5	
ENST00000541644.5	P52566
ENST00000416978.1	
ENST00000650772.1	
ENST00000399444.6	Q92904
ENST00000458579.5	
ENST00000450257.2	
ENST00000651298.1	
ENST00000561627.5	
ENST00000435376.5	Q8NEG2
ENST00000297508.8	Q8IY33
ENST00000548730.1	
ENST00000565553.1	
ENST00000454457.1	
ENST00000638020.1	
ENST00000652497.1	P55197
ENST00000256460.8	Q14012
ENST00000627024.2	Q9BZ29
ENST00000541546.5	P52566
ENST00000495130.5	
ENST00000430738.5	
ENST00000545895.5	
ENST00000261868.10	O75822
ENST00000427887.2	
ENST00000421120.1	
ENST00000440166.5	Q9UJU6
ENST00000348904.4	Q8NEG2
ENST00000462999.5	
ENST00000424492.7	O75822
ENST00000381297.10	Q86VZ1
ENST00000430455.2	
ENST00000541380.5	
ENST00000460672.6	
ENST00000479769.1	
ENST00000442173.5	
ENST00000652258.1	
ENST00000542276.1	
ENST00000535391.5	O75822
ENST00000539619.5	
ENST00000634164.1	
ENST00000420532.2	
ENST00000397277.6	
ENST00000411972.1	
ENST00000520810.6	O14920
ENST00000438473.6	
ENST00000595753.6	Q96K37
ENST00000536248.1	
ENST00000549059.2	Q5SSG8
ENST00000649612.2	O14920
ENST00000358105.7	Q6V702
ENST00000370031.5	
ENST00000558353.1	
ENST00000295497.12	P15882
ENST00000420525.1	
ENST00000370032.9	Q5T8I9
ENST00000409648.8	
ENST00000621220.4	P55197
ENST00000514249.5	
ENST00000377059.7	P55197
ENST00000436553.6	
ENST00000420055.1	
ENST00000356208.10	Q9H0Z9
ENST00000513920.5	
ENST00000383429.7	
ENST00000574328.5	
ENST00000515652.5	
ENST00000421082.1	
ENST00000508675.1	Q6V702
ENST00000523677.6	Q8IVY1
ENST00000440234.6	Q9H0Z9
ENST00000462244.1	Q8NDX9
ENST00000651461.1	Q5T8I9
ENST00000423420.1	Q8IVY1
ENST00000337768.10	O94864
ENST00000342690.4	
ENST00000402983.5	Q5T8I9
ENST00000621014.1	
ENST00000344785.10	
ENST00000406540.5	O94864
ENST00000374140.6	P49796
ENST00000451548.6	Q01534
ENST00000371219.2	
ENST00000441840.7	
ENST00000369093.6	Q01085
ENST00000423647.6	Q01534
ENST00000421765.7	Q9H7X0
ENST00000405491.5	O94864
ENST00000464762.5	
ENST00000304460.11	Q695T7
ENST00000543500.3	P0CJ70
ENST00000439815.5	
ENST00000464789.2	O94864
ENST00000398027.6	Q9H0M4
ENST00000312465.11	P12034
ENST00000404798.6	O94864
ENST00000490721.5	Q9H0M4
ENST00000313871.9	Q02040
ENST00000498733.5	
ENST00000456523.3	P12034
ENST00000633541.1	
ENST00000452943.5	
ENST00000474361.6	Q02040
ENST00000485932.5	
ENST00000520320.5	
ENST00000601636.5	
ENST00000507780.1	
ENST00000381261.8	
ENST00000429716.5	
ENST00000640292.2	Q6P2H3
ENST00000440933.2	Q6UXA7
ENST00000308744.10	Q9Y5X5
ENST00000409900.8	P15882
ENST00000451429.7	Q6P2H3
ENST00000265348.8	Q14999
ENST00000674112.1	
ENST00000344413.5	Q9Y5X5
ENST00000652036.1	
ENST00000593991.5	
ENST00000468694.5	Q9UJU6
ENST00000252992.8	Q6P2H3
ENST00000674134.1	
ENST00000674100.1	
ENST00000673725.1	
ENST00000443238.6	
ENST00000441904.5	
ENST00000595505.5	
ENST00000650938.1	
ENST00000453146.1	
ENST00000593459.5	
ENST00000395999.5	Q9Y5X5
ENST00000494774.5	Q9UJU6
ENST00000594509.5	
ENST00000520429.6	P24863
ENST00000535468.1	Q14999
ENST00000411855.5	
ENST00000600705.1	
ENST00000358749.3	Q9Y5X5
ENST00000341832.10	P21127
ENST00000369220.8	
ENST00000440215.4	
ENST00000432854.5	
ENST00000413924.2	Q9UIG4
ENST00000631991.1	
ENST00000326298.8	
ENST00000452661.1	
ENST00000631700.1	
ENST00000520371.5	
ENST00000634040.1	
ENST00000433334.6	Q9UIG5
ENST00000497671.5	
ENST00000360951.8	Q9H0M4
ENST00000631645.1	
ENST00000360862.9	Q9H7X0
ENST00000407249.7	P21127
ENST00000490734.6	Q9UJU6
ENST00000471336.1	
ENST00000632696.1	
ENST00000651501.1	
ENST00000436547.6	Q01085
ENST00000639151.1	
ENST00000472716.1	
ENST00000297283.4	P15259
ENST00000523961.5	
ENST00000412524.5	
ENST00000392723.5	Q7Z3K3
ENST00000457875.2	Q15517
ENST00000369086.1	
ENST00000388752.8	Q5T653
ENST00000451864.6	
ENST00000622249.4	
ENST00000479729.1	
ENST00000230413.9	
ENST00000633176.1	
ENST00000577013.6	Q9H7X0
ENST00000498088.1	
ENST00000612166.1	
ENST00000489623.1	
ENST00000326019.10	Q9BWU0
ENST00000650731.1	
ENST00000633693.1	
ENST00000409597.5	
ENST00000618046.4	
ENST00000651717.1	
ENST00000613517.4	
ENST00000280979.9	Q13023
ENST00000413882.6	
ENST00000304920.3	Q8TAD2
ENST00000427424.1	
ENST00000557354.5	Q13023
ENST00000651246.1	
ENST00000622136.2	Q96NA2
ENST00000468605.1	
ENST00000557102.1	
ENST00000613058.4	Q9BWU0
ENST00000414063.6	Q9H7X0
ENST00000557272.1	
ENST00000523799.5	P24863
ENST00000409156.7	P15882
ENST00000537040.6	Q9H310
ENST00000487429.1	
ENST00000324364.3	Q6ZUS5
ENST00000409089.7	
ENST00000486428.6	
ENST00000468957.1	
ENST00000444394.6	
ENST00000553547.5	
ENST00000394775.3	Q6ZUS5
ENST00000523985.5	P24863
ENST00000207157.7	Q96SF7
ENST00000404141.6	Q6ZW49
ENST00000554410.5	
ENST00000522876.1	
ENST00000484049.6	
ENST00000556638.1	
ENST00000425395.6	
ENST00000382758.6	Q8WVE0
ENST00000449873.5	
ENST00000444573.2	
ENST00000369429.5	Q96SF7
ENST00000572584.2	Q9H7X0
ENST00000518714.5	
ENST00000382754.4	Q8WVE0
ENST00000651373.1	
ENST00000524049.5	
ENST00000650770.1	
ENST00000613460.4	
ENST00000554740.1	
ENST00000469597.2	
ENST00000457196.5	
ENST00000646590.1	
ENST00000612897.4	
ENST00000652674.1	
ENST00000369217.8	
ENST00000271715.7	Q7Z3K3
ENST00000651315.1	
ENST00000546361.7	Q8IWX8
ENST00000620376.4	
ENST00000482541.2	
ENST00000652756.1	
ENST00000553525.6	P49758
ENST00000400116.7	
ENST00000414814.5	
ENST00000419436.1	
ENST00000651580.1	
ENST00000198939.6	
ENST00000651971.1	
ENST00000555571.5	P49758
ENST00000397192.5	Q6ZW49
ENST00000627680.2	
ENST00000452597.5	
ENST00000652208.1	
ENST00000368863.6	Q7Z3K3
ENST00000483536.6	
ENST00000419081.5	
ENST00000377067.9	P78333
ENST00000650734.1	
ENST00000615951.4	
ENST00000553530.5	P49758
ENST00000317613.10	P49796
ENST00000618283.1	
ENST00000554474.5	P49758
ENST00000451799.2	
ENST00000409503.5	Q7Z3K3
ENST00000618596.1	
ENST00000556437.5	P49758
ENST00000651803.1	
ENST00000614703.4	
ENST00000652434.1	
ENST00000531094.5	Q7Z3K3
ENST00000614800.4	
ENST00000651599.1	
ENST00000355512.10	P49758
ENST00000343817.9	P49796
ENST00000644861.1	Q709C8
ENST00000404301.6	P49758
ENST00000491586.5	Q7Z3K3
ENST00000394609.6	Q9NQC3
ENST00000368131.8	Q16666
ENST00000481174.1	
ENST00000324642.4	Q96N87
ENST00000383433.8	P67870
ENST00000406236.8	P49758
ENST00000490654.1	
ENST00000529669.1	
ENST00000407322.8	P49758
ENST00000374136.5	
ENST00000438596.5	
ENST00000450610.6	
ENST00000467906.5	Q9NSK0
ENST00000249837.7	Q709C8
ENST00000496113.1	
ENST00000433697.5	
ENST00000441516.1	
ENST00000368132.7	Q16666
ENST00000465357.6	P51513
ENST00000340677.9	P21127
ENST00000444331.5	
ENST00000263390.7	O95402
ENST00000434263.6	
ENST00000462143.5	P49796
ENST00000414434.6	
ENST00000611150.3	
ENST00000421605.5	
ENST00000580306.7	P17022
ENST00000650094.1	
ENST00000477532.5	
ENST00000594456.1	
ENST00000611692.4	O95402
ENST00000572739.5	
ENST00000295809.11	Q16666
ENST00000417065.5	
ENST00000598492.5	
ENST00000423916.5	
ENST00000322748.7	P17022
ENST00000533461.5	
ENST00000439814.5	
ENST00000615277.5	Q9UPR0
ENST00000436495.5	
ENST00000645819.1	Q709C8
ENST00000533351.5	
ENST00000426843.5	
ENST00000418745.5	
ENST00000598608.1	
ENST00000450842.1	
ENST00000359709.7	Q16666
ENST00000554782.1	P49758
ENST00000649766.1	
ENST00000430718.5	
ENST00000636854.3	
ENST00000601478.1	
ENST00000629289.2	
ENST00000613609.4	Q9Y3Q7
ENST00000432376.5	Q9UPR0
ENST00000377073.3	P51786
ENST00000421039.2	
ENST00000265224.9	Q92527
ENST00000273221.8	Q6DN90
ENST00000439756.1	
ENST00000448393.6	Q16666
ENST00000637228.1	
ENST00000395898.3	Q709C8
ENST00000539517.7	P51513
ENST00000600060.1	
ENST00000454073.7	P17022
ENST00000626918.2	
ENST00000633768.1	Q9Y3Q7
ENST00000383431.6	
ENST00000419842.1	
ENST00000486422.1	
ENST00000646269.1	
ENST00000395841.7	P78406
ENST00000644463.1	
ENST00000392185.8	Q9Y5X1
ENST00000449198.6	
ENST00000577671.5	
ENST00000629312.2	
ENST00000383427.6	P67870
ENST00000417525.5	
ENST00000633688.1	Q9Y3Q7
ENST00000567661.5	
ENST00000618604.4	
ENST00000347476.10	
ENST00000400110.5	P67870
ENST00000582607.1	
ENST00000550492.2	
ENST00000371242.6	P78406
ENST00000427220.5	
ENST00000648114.1	
ENST00000546546.1	
ENST00000373758.5	Q6NUK4
ENST00000344581.4	A6NCF5
ENST00000474473.1	
ENST00000549146.5	
ENST00000374134.7	P49796
ENST00000580903.1	
ENST00000620798.3	
ENST00000527947.5	
ENST00000402788.6	
ENST00000613206.2	
ENST00000549571.5	
ENST00000580613.5	P17022
ENST00000648386.1	
ENST00000634963.1	
ENST00000622468.4	
ENST00000343854.10	
ENST00000647458.1	
ENST00000344429.9	P51513
ENST00000471324.6	
ENST00000492498.5	
ENST00000340979.10	
ENST00000614783.4	
ENST00000547619.5	
ENST00000411894.5	
ENST00000621953.2	
ENST00000429339.5	
ENST00000467805.6	
ENST00000574031.1	
ENST00000395840.6	P78406
ENST00000462403.5	P49796
ENST00000576787.5	
ENST00000377047.9	Q9Y625
ENST00000452119.1	
ENST00000253814.6	Q9BT67
ENST00000620489.1	
ENST00000617456.1	
ENST00000256906.5	Q9H3N8
ENST00000614391.2	
ENST00000426880.2	Q9H3N8
ENST00000376636.7	Q96RL7
ENST00000613049.4	P49796
ENST00000394646.7	P49796
ENST00000350696.9	P49796
ENST00000633523.1	
ENST00000631698.1	P29692
ENST00000632012.1	
ENST00000632150.1	
ENST00000342620.9	
ENST00000360280.8	Q96RL7
ENST00000573345.5	
ENST00000506563.5	
ENST00000645632.1	Q96RL7
ENST00000263321.6	P14679
ENST00000615976.2	Q9BT76
ENST00000640310.1	
ENST00000643802.1	
ENST00000373210.4	Q9HCK5
ENST00000643348.1	Q96RL7
ENST00000400139.5	O95872
ENST00000515877.5	Q9HCN4
ENST00000503738.5	Q9HCN4
ENST00000448265.7	Q9BT76
ENST00000631529.1	
ENST00000373871.8	Q99504
ENST00000643663.1	Q4W5P6
ENST00000373864.5	
ENST00000376356.5	Q8IYQ7
ENST00000373863.3	Q99504
ENST00000330560.8	Q69YH5
ENST00000400129.7	O95872
ENST00000493341.1	
ENST00000524413.5	Q8IYQ7
ENST00000300482.9	O94759
ENST00000419472.1	
ENST00000431901.5	
ENST00000380665.3	
ENST00000426895.9	
ENST00000572942.5	Q9H7X0
ENST00000407583.7	Q9HCN4
ENST00000405240.5	Q9NQC3
ENST00000383434.6	O95872
ENST00000397928.5	O94759
ENST00000576916.5	
ENST00000357376.7	Q9NQC3
ENST00000400134.5	O95872
ENST00000426827.5	
ENST00000431204.5	
ENST00000383436.8	O95872
ENST00000264718.7	Q9HCN4
ENST00000422738.5	
ENST00000425437.5	
ENST00000467124.1	
ENST00000397932.6	
ENST00000415610.5	
ENST00000650135.1	
ENST00000436280.5	
ENST00000414010.5	
ENST00000575076.5	Q9H7X0
ENST00000441661.1	
ENST00000674077.1	
ENST00000438225.1	
ENST00000300481.13	O94759
ENST00000527985.5	Q9C0B5
ENST00000430390.5	
ENST00000245907.11	P01024
ENST00000572131.5	
ENST00000610189.2	Q9HCN4
ENST00000376351.4	Q5T848
ENST00000320542.4	Q96T53
ENST00000252660.5	P04201
ENST00000287169.8	Q9C0B5
ENST00000430324.5	
ENST00000444411.5	
ENST00000369426.9	Q9UGM6
ENST00000621304.1	
ENST00000528177.5	
ENST00000616939.4	Q9HCN4
ENST00000310252.11	
ENST00000337526.11	Q9NQC3
ENST00000235521.4	Q9UGM6
ENST00000458167.6	Q9HCN4
ENST00000267425.8	Q86U38
ENST00000424214.5	Q9HCN4
ENST00000532842.1	
ENST00000496246.5	
ENST00000334690.11	Q7Z392
ENST00000396802.7	Q86U38
ENST00000602229.1	
ENST00000474948.5	
ENST00000317610.11	Q9NQC3
ENST00000650565.1	
ENST00000529447.1	
ENST00000452823.5	
ENST00000578970.5	
ENST00000357732.8	Q9NQC3
ENST00000557362.1	
ENST00000582371.5	
ENST00000443148.5	
ENST00000601008.1	
ENST00000570819.5	Q9H7X0
ENST00000394611.6	Q9NQC3
ENST00000596548.1	
ENST00000621064.1	
ENST00000404909.5	Q9NQC3
ENST00000486085.5	
ENST00000383827.5	Q9Y4R7
ENST00000399262.7	Q15652
ENST00000553481.1	
ENST00000268154.9	Q8N1W2
ENST00000473661.5	
ENST00000559419.1	
ENST00000455274.5	
ENST00000558883.1	
ENST00000372485.5	
ENST00000438462.1	
ENST00000599743.5	
ENST00000345363.8	Q15722
ENST00000584775.5	
ENST00000559360.1	
ENST00000427710.5	
ENST00000438141.5	Q9Y4R7
ENST00000396789.4	Q15722
ENST00000430793.1	Q9Y4R7
ENST00000505676.5	
ENST00000556141.1	
ENST00000300619.12	Q05481
ENST00000221114.8	O00399
ENST00000673899.1	
ENST00000396782.2	Q15722
ENST00000372488.8	Q6UY11
ENST00000402434.6	
ENST00000540618.5	Q99504
ENST00000397082.2	Q05481
ENST00000600744.1	
ENST00000595533.1	
ENST00000512476.1	
ENST00000436342.6	Q99504
ENST00000471058.1	
ENST00000360242.9	Q68D86
ENST00000522141.5	
ENST00000517890.5	
ENST00000554113.5	
ENST00000581520.1	
ENST00000357207.8	Q7Z392
ENST00000520829.5	
ENST00000357338.3	Q6UY11
ENST00000320152.11	Q9NRG1
ENST00000584156.5	Q68D86
ENST00000519733.5	
ENST00000327520.7	
ENST00000523666.5	
ENST00000376378.5	Q9NRG1
ENST00000519830.1	
ENST00000256443.8	P50613
ENST00000376376.3	Q9NRG1
ENST00000417067.5	
ENST00000523105.5	
ENST00000554411.5	Q9UHD4
ENST00000520835.7	
ENST00000601935.5	
ENST00000542921.5	Q15652
ENST00000555631.6	
ENST00000518679.5	
ENST00000342222.6	
ENST00000339464.9	P56706
ENST00000336557.9	Q9UHD4
ENST00000515391.5	
ENST00000639129.1	
ENST00000600313.5	
ENST00000518983.1	
ENST00000596211.5	
ENST00000258807.5	Q9UHD4
ENST00000515180.5	
ENST00000553645.7	Q4LDG9
ENST00000409496.7	
ENST00000359788.9	Q8TD23
ENST00000506789.5	
ENST00000410089.5	
ENST00000311089.7	Q4LDG9
ENST00000372515.8	
ENST00000266395.3	Q13956
ENST00000517388.5	
ENST00000555919.7	
ENST00000410058.1	
ENST00000556756.1	
ENST00000619144.4	P29692
ENST00000510106.5	
ENST00000395089.5	A6PVS8
ENST00000599535.1	
ENST00000428540.1	
ENST00000554339.5	
ENST00000498623.6	P59998
ENST00000399974.5	P0CJ71
ENST00000597074.5	
ENST00000554871.5	Q4LDG9
ENST00000632675.1	P29692
ENST00000331161.9	Q8TC29
ENST00000601010.5	
ENST00000379717.5	
ENST00000557649.5	Q8N912
ENST00000559993.1	
ENST00000514676.5	
ENST00000415760.5	A6PVS8
ENST00000599168.1	
ENST00000614575.4	P29692
ENST00000331952.6	
ENST00000496261.6	Q8TC29
ENST00000527924.6	
ENST00000554159.1	
ENST00000621178.4	
ENST00000504147.5	
ENST00000376363.5	
ENST00000529689.5	Q9GZT6
ENST00000611309.4	
ENST00000370909.6	
ENST00000278590.8	Q9C0D7
ENST00000528054.1	
ENST00000521661.5	
ENST00000483339.2	
ENST00000620731.4	
ENST00000444984.1	
ENST00000410013.1	Q8N912
ENST00000355467.6	Q96ME7
ENST00000528673.5	Q9C0D7
ENST00000520655.5	
ENST00000615958.4	
ENST00000455220.6	Q9GZT6
ENST00000508726.5	
ENST00000533293.2	Q9NPC1
ENST00000453089.2	
ENST00000502604.5	
ENST00000573382.3	A0A1B0GTQ4
ENST00000517812.5	
ENST00000530080.1	
ENST00000523517.5	
ENST00000576476.1	A0A1B0GTQ4
ENST00000321250.13	O95214
ENST00000522147.4	
ENST00000370911.7	A6PVS8
ENST00000543919.1	Q9NPC1
ENST00000615875.4	
ENST00000354431.9	A6PVS8
ENST00000518001.1	
ENST00000310581.10	O14746
ENST00000632587.1	P29692
ENST00000415614.6	
ENST00000614725.1	
ENST00000556601.5	Q96ME7
ENST00000650149.1	
ENST00000629350.2	
ENST00000336915.11	Q86WV1
ENST00000626796.2	
ENST00000656021.1	
ENST00000520682.5	
ENST00000413371.6	Q96ME7
ENST00000631650.1	
ENST00000620290.2	P46459
ENST00000556320.1	
ENST00000416005.6	Q96ME7
ENST00000615475.1	
ENST00000632965.1	P29692
ENST00000442880.6	
ENST00000324306.11	P17029
ENST00000347162.10	Q9NSK0
ENST00000619553.4	
ENST00000556573.6	Q6ZVK1
ENST00000523116.5	O95214
ENST00000453940.6	Q9NSK0
ENST00000584709.5	
ENST00000520739.5	
ENST00000518192.5	
ENST00000341595.7	Q6ZVK1
ENST00000426572.5	
ENST00000613465.4	
ENST00000261866.12	Q96JI7
ENST00000479632.5	
ENST00000460137.6	O14746
ENST00000583844.5	
ENST00000394562.5	Q8IYM2
ENST00000519466.1	
ENST00000615704.1	
ENST00000470728.5	
ENST00000432317.1	
ENST00000616631.1	
ENST00000616017.1	
ENST00000416505.6	O14920
ENST00000559511.5	
ENST00000584924.5	Q86WV1
ENST00000304905.9	Q8IYM2
ENST00000620510.1	
ENST00000334602.10	O14746
ENST00000629753.1	
ENST00000458460.6	Q9NSK0
ENST00000581400.2	
ENST00000613951.1	
ENST00000535170.5	
ENST00000397261.7	P59998
ENST00000452764.3	Q8IYM2
ENST00000535302.6	Q96JI7
ENST00000579336.1	
ENST00000633834.1	
ENST00000259708.7	Q9NSK0
ENST00000307144.6	Q9BYZ2
ENST00000581419.1	
ENST00000632423.1	
ENST00000633339.1	
ENST00000372530.9	Q5T3U5
ENST00000472792.1	
ENST00000633653.1	
ENST00000417500.5	
ENST00000447040.6	
ENST00000417036.1	
ENST00000515320.5	P51659
ENST00000427534.6	
ENST00000504921.6	Q06413
ENST00000632852.1	
ENST00000479388.5	Q9NSK0
ENST00000445092.5	
ENST00000440787.5	
ENST00000368693.6	Q8TC84
ENST00000632125.1	
ENST00000460283.1	
ENST00000558138.1	
ENST00000485273.1	
ENST00000244533.7	Q5T3U5
ENST00000433034.1	P59998
ENST00000620264.4	A6NF34
ENST00000481499.5	
ENST00000525503.5	Q9GZT6
ENST00000374500.10	O60888
ENST00000632862.1	
ENST00000417114.5	
ENST00000631863.1	
ENST00000632402.1	
ENST00000617088.4	
ENST00000445510.5	
ENST00000394056.6	Q9NSK0
ENST00000558319.5	Q96JI7
ENST00000632115.1	
ENST00000368691.5	
ENST00000614267.1	
ENST00000532631.5	
ENST00000481888.1	
ENST00000368689.1	
ENST00000559822.1	
ENST00000505344.1	
ENST00000622632.4	
ENST00000633686.1	
ENST00000488034.5	O60888
ENST00000469987.1	
ENST00000607266.5	O60888
ENST00000634156.1	
ENST00000419437.5	
ENST00000423108.5	
ENST00000560858.1	
ENST00000633641.1	
ENST00000558155.1	
ENST00000451872.6	
ENST00000456942.1	
ENST00000544824.2	P0CJ74
ENST00000494751.5	
ENST00000372141.7	P56975
ENST00000488478.5	
ENST00000558988.5	
ENST00000262442.9	Q9NYC9
ENST00000633697.1	
ENST00000368695.6	
ENST00000559754.1	
ENST00000634157.1	
ENST00000560435.1	
ENST00000633396.1	
ENST00000260054.8	
ENST00000482684.5	
ENST00000579828.5	
ENST00000404547.5	P56975
ENST00000559193.5	
ENST00000374484.8	
ENST00000631585.1	
ENST00000557866.1	
ENST00000372142.6	P56975
ENST00000529611.5	Q9GZT6
ENST00000264080.11	Q9NPR9
ENST00000465250.6	
ENST00000338581.10	Q9HC10
ENST00000527495.5	
ENST00000632238.1	
ENST00000454412.6	
ENST00000339598.7	Q9HC10
ENST00000602794.5	
ENST00000632162.1	
ENST00000288207.7	O95067
ENST00000642379.1	
ENST00000337672.9	A0JLT2
ENST00000340208.9	Q06413
ENST00000220420.10	O43548
ENST00000579602.1	
ENST00000631850.1	
ENST00000440279.7	O60888
ENST00000367342.8	Q3KP66
ENST00000555784.5	
ENST00000579813.1	
ENST00000416097.2	O15209
ENST00000404576.6	
ENST00000612389.4	
ENST00000349114.8	O43548
ENST00000559622.5	
ENST00000556918.5	
ENST00000413687.3	Q3KP66
ENST00000633394.1	
ENST00000424173.6	Q06413
ENST00000454866.1	
ENST00000431606.4	
ENST00000633090.1	
ENST00000645681.2	A0JLT2
ENST00000537893.1	
ENST00000633928.1	
ENST00000594500.5	
ENST00000579703.1	
ENST00000402415.8	
ENST00000650677.1	
ENST00000545131.5	
ENST00000248098.8	Q9H910
ENST00000621385.1	
ENST00000374496.3	O60888
ENST00000650726.1	
ENST00000632241.1	
ENST00000594034.5	
ENST00000492510.1	
ENST00000633058.1	
ENST00000490531.3	O15069
ENST00000610827.4	
ENST00000611276.4	
ENST00000316836.5	Q8ND90
ENST00000633887.1	
ENST00000562684.5	Q9H910
ENST00000360184.10	Q14204
ENST00000611509.4	O60888
ENST00000622115.1	
ENST00000667890.1	
ENST00000331872.10	P15104
ENST00000561516.5	
ENST00000380909.8	Q9H4I3
ENST00000382711.9	Q9H910
ENST00000632626.1	
ENST00000608377.5	Q9NYC9
ENST00000566742.5	
ENST00000339526.8	P15104
ENST00000631688.1	
ENST00000643508.1	
ENST00000433535.6	Q6P087
ENST00000566925.5	
ENST00000303434.8	Q9H4I3
ENST00000595908.5	
ENST00000632733.1	
ENST00000434538.5	
ENST00000558348.5	
ENST00000569765.5	
ENST00000631763.1	
ENST00000560394.5	
ENST00000633476.1	
ENST00000566691.5	
ENST00000330619.13	Q6ECI4
ENST00000631875.1	
ENST00000298317.9	Q96CM3
ENST00000334574.12	A1L4K1
ENST00000601902.5	
ENST00000633259.1	
ENST00000382710.8	
ENST00000565851.5	
ENST00000611244.3	
ENST00000633857.1	
ENST00000622365.2	
ENST00000345094.7	Q9BV44
ENST00000395827.5	Q9H4I3
ENST00000288228.10	Q8TBF8
ENST00000533628.5	Q96CM3
ENST00000452443.3	Q96PF1
ENST00000313117.11	Q16629
ENST00000594953.1	
ENST00000541889.1	A1L4K1
ENST00000562569.1	
ENST00000395829.1	
ENST00000430424.8	
ENST00000383820.9	Q6P087
ENST00000452837.7	Q9BV44
ENST00000618755.1	
ENST00000433777.5	
ENST00000561368.1	
